"proset","perct","count"
"SPEN_YTHDC1",0.165570096160798,2290
"SPEN_SRSF1",0.18762200853156,2595
"SPEN_NUDT21",0.212132166871521,2934
"SPEN_KHDRBS1",0.142216759453402,1967
"SPEN_HNRNPU",0.291880558166438,4037
"SPEN_HNRNPL",0.273949822861688,3789
"SPEN_HNRNPC",0.156170920396211,2160
"SPEN_CIZ1",0.131805364760321,1823
"SPEN_PABPN1",0.187838912587665,2598
"HNRNPM_PTBP1",0.18256091388909,2525
"HNRNPM_XRN2",0.270045549851782,3735
"HNRNPM_TIA1",0.322753235485504,4464
"HNRNPM_SFPQ",0.283132094570168,3916
"HNRNPM_RBM15A",0.0848817872894223,1174
"HNRNPM_SAFB",0.18762200853156,2595
"HNRNPM_YTHDC1",0.0841587737690695,1164
"HNRNPM_SRSF1",0.114814547032029,1588
"HNRNPM_NUDT21",0.126888872821922,1755
"HNRNPM_KHDRBS1",0.0960884968548912,1329
"HNRNPM_HNRNPU",0.238305256308293,3296
"HNRNPM_HNRNPL",0.172149519196009,2381
"HNRNPM_HNRNPC",0.161738124502928,2237
"HNRNPM_CIZ1",0.098329838767985,1360
"HNRNPM_PABPN1",0.0952931819825031,1318
"PTBP1_XRN2",0.135854240474297,1879
"PTBP1_TIA1",0.204685127611886,2831
"PTBP1_SFPQ",0.161593521798858,2235
"PTBP1_RBM15A",0.0811944183356229,1123
"PTBP1_SAFB",0.0758441182850119,1049
"PTBP1_YTHDC1",0.104475453690984,1445
"PTBP1_SRSF1",0.0875569373147278,1211
"PTBP1_NUDT21",0.105270768563372,1456
"PTBP1_KHDRBS1",0.0617453546381317,854
"PTBP1_HNRNPU",0.128551803918733,1778
"PTBP1_HNRNPL",0.147928566264189,2046
"PTBP1_HNRNPC",0.132239172872533,1829
"PTBP1_CIZ1",0.0665895452244957,921
"PTBP1_PABPN1",0.147494758151977,2040
"XRN2_TIA1",0.424770443207288,5875
"XRN2_SFPQ",0.351384570891476,4860
"XRN2_RBM15A",0.181765599016702,2514
"XRN2_SAFB",0.221892849396284,3069
"XRN2_YTHDC1",0.168751355650351,2334
"XRN2_SRSF1",0.260646374087195,3605
"XRN2_NUDT21",0.249150459113585,3446
"XRN2_KHDRBS1",0.128262598510592,1774
"XRN2_HNRNPU",0.23252114814547,3216
"XRN2_HNRNPL",0.199045622153134,2753
"XRN2_HNRNPC",0.109391945629383,1513
"XRN2_CIZ1",0.123707613332369,1711
"XRN2_PABPN1",0.211192249295062,2921
"TIA1_SFPQ",0.401489407851927,5553
"TIA1_RBM15A",0.184223844985901,2548
"TIA1_SAFB",0.320005784108163,4426
"TIA1_YTHDC1",0.228833779191671,3165
"TIA1_SRSF1",0.225001807533801,3112
"TIA1_NUDT21",0.289783818957415,4008
"TIA1_KHDRBS1",0.128045694454486,1771
"TIA1_HNRNPU",0.290434531125732,4017
"TIA1_HNRNPL",0.248138240185091,3432
"TIA1_HNRNPC",0.153784975779047,2127
"TIA1_CIZ1",0.111994794302653,1549
"TIA1_PABPN1",0.246909117200492,3415
"SFPQ_RBM15A",0.155158701467717,2146
"SFPQ_SAFB",0.201937676234546,2793
"SFPQ_YTHDC1",0.165136288048587,2284
"SFPQ_SRSF1",0.201793073530475,2791
"SFPQ_NUDT21",0.206637264116839,2858
"SFPQ_KHDRBS1",0.152845058202588,2114
"SFPQ_HNRNPU",0.200419347841805,2772
"SFPQ_HNRNPL",0.179524257103608,2483
"SFPQ_HNRNPC",0.118140409225653,1634
"SFPQ_CIZ1",0.14807316896826,2048
"SFPQ_PABPN1",0.21198756416745,2932
"RBM15A_SAFB",0.240763502277493,3330
"RBM15A_YTHDC1",0.492372207360278,6810
"RBM15A_SRSF1",0.489407851926831,6769
"RBM15A_NUDT21",0.458535174607765,6342
"RBM15A_KHDRBS1",0.0953654833345384,1319
"RBM15A_HNRNPU",0.0441761260935579,611
"RBM15A_HNRNPL",0.0578410816282264,800
"RBM15A_HNRNPC",0.0420070855324995,581
"RBM15A_CIZ1",0.0784469669582821,1085
"RBM15A_PABPN1",0.359048514207216,4966
"SAFB_YTHDC1",0.303737979900224,4201
"SAFB_SRSF1",0.226375533222471,3131
"SAFB_NUDT21",0.277347986407346,3836
"SAFB_KHDRBS1",0.104041645578772,1439
"SAFB_HNRNPU",0.230062902176271,3182
"SAFB_HNRNPL",0.200130142433664,2768
"SAFB_HNRNPC",0.0929072373653387,1285
"SAFB_CIZ1",0.0688308871375895,952
"SAFB_PABPN1",0.174246258405032,2410
"YTHDC1_SRSF1",0.43163907165064,5970
"YTHDC1_NUDT21",0.496348781722218,6865
"YTHDC1_KHDRBS1",0.0882076494830453,1220
"YTHDC1_HNRNPU",0.0560335478273444,775
"YTHDC1_HNRNPL",0.0668064492806015,924
"YTHDC1_HNRNPC",0.0563950545875208,780
"YTHDC1_CIZ1",0.0707830236425421,979
"YTHDC1_PABPN1",0.419058636396501,5796
"SRSF1_NUDT21",0.479936374810209,6638
"SRSF1_KHDRBS1",0.096811510375244,1339
"SRSF1_HNRNPU",0.0547321234907093,757
"SRSF1_HNRNPL",0.0625406695105198,865
"SRSF1_HNRNPC",0.04598365989444,636
"SRSF1_CIZ1",0.0867616224423397,1200
"SRSF1_PABPN1",0.380738919817801,5266
"NUDT21_KHDRBS1",0.102378714481961,1416
"NUDT21_HNRNPU",0.0783746656062468,1084
"NUDT21_HNRNPL",0.0861109102740221,1191
"NUDT21_HNRNPC",0.0629021762706963,870
"NUDT21_CIZ1",0.0845925818812812,1170
"NUDT21_PABPN1",0.365338731834285,5053
"KHDRBS1_HNRNPU",0.0871231292025161,1205
"KHDRBS1_HNRNPL",0.0963777022630323,1333
"KHDRBS1_HNRNPC",0.0569734654038031,788
"KHDRBS1_CIZ1",0.11112717807823,1537
"KHDRBS1_PABPN1",0.0969561130793146,1341
"HNRNPU_HNRNPL",0.402284722724315,5564
"HNRNPU_HNRNPC",0.189718747740583,2624
"HNRNPU_CIZ1",0.0698431060660834,966
"HNRNPU_PABPN1",0.0749042007085532,1036
"HNRNPL_HNRNPC",0.140336924300484,1941
"HNRNPL_CIZ1",0.0720121466271419,996
"HNRNPL_PABPN1",0.0854601981057046,1182
"HNRNPC_CIZ1",0.0589256019087557,815
"HNRNPC_PABPN1",0.0590702046128263,817
"CIZ1_PABPN1",0.0831465548405755,1150
