proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
U2AF65_RING1B,0.220736028,3053,1.17E-06,3.07E-06,0.999998942,1,0,0,0
U2AF65_NXF1,0.235123997,3252,0,0,1,1,1,1,0
U2AF65_HNRNPK,0.164340973,2273,1,1,0,0,0,0,0
U2AF65_MATRIN3,0.08394187,1161,1,1,0,0,0,0,1
U2AF65_SPEN,0.257103608,3556,4.74E-14,1.45E-13,1,1,1,0,1
U2AF65_HNRNPM,0.151977442,2102,1,1,0,0,0,0,1
U2AF65_PTBP1,0.138746295,1919,1,1,0,0,0,0,0
U2AF65_XRN2,0.260357169,3601,3.52E-14,1.12E-13,1,1,0,0,0
U2AF65_TIA1,0.303521076,4198,8.40E-14,2.44E-13,1,1,0,0,1
U2AF65_SFPQ,0.223338876,3089,2.25E-08,5.97E-08,0.99999998,1,0,0,1
U2AF65_RBM15A,0.256814402,3552,4.83E-14,1.46E-13,1,1,1,1,0
U2AF65_SAFB,0.182850119,2529,1,1,6.66E-11,1.31E-10,1,1,0
U2AF65_YTHDC1,0.271780782,3759,0,0,1,1,1,1,0
U2AF65_SRSF1,0.331067891,4579,0,0,1,1,1,1,0
U2AF65_NUDT21,0.371628949,5140,0,0,1,1,1,1,0
U2AF65_KHDRBS1,0.084881787,1174,1,1,0,0,0,1,0
U2AF65_HNRNPU,0.118429615,1638,1,1,6.37E-14,1.29E-13,0,0,0
U2AF65_HNRNPL,0.118429615,1638,1,1,6.37E-14,1.29E-13,0,0,0
U2AF65_HNRNPC,0.083074253,1149,1,1,0,0,1,0,0
U2AF65_CIZ1,0.075627214,1046,1,1,0,0,0,0,0
U2AF65_PABPN1,0.225363314,3117,7.17E-10,1.95E-09,0.999999999,1,1,0,0
RING1B_NXF1,0.317836744,4396,0,0,1,1,0,0,0
RING1B_HNRNPK,0.135565035,1875,1,1,0,0,1,1,0
RING1B_MATRIN3,0.074398091,1029,1,1,0,0,0,0,0
RING1B_SPEN,0.258115827,3570,4.31E-14,1.33E-13,1,1,0,0,0
RING1B_HNRNPM,0.154218784,2133,1,1,0,0,0,0,0
RING1B_PTBP1,0.126455065,1749,1,1,0,0,0,0,0
RING1B_XRN2,0.27698648,3831,0,0,1,1,0,0,0
RING1B_TIA1,0.250596486,3466,1.91E-14,6.70E-14,1,1,0,0,0
RING1B_SFPQ,0.282915191,3913,0,0,1,1,0,0,0
RING1B_RBM15A,0.220013014,3043,3.20E-06,8.26E-06,0.999997101,1,0,0,0
RING1B_SAFB,0.118791121,1643,1,1,6.21E-14,1.27E-13,0,0,0
RING1B_YTHDC1,0.201793074,2791,0.787447083,1,0.218786874,0.385900467,0,0,0
RING1B_SRSF1,0.305473212,4225,9.70E-14,2.75E-13,1,1,0,0,0
RING1B_NUDT21,0.239968187,3319,0,0,1,1,0,0,0
RING1B_KHDRBS1,0.10751211,1487,1,1,0,0,0,0,0
RING1B_HNRNPU,0.107873617,1492,1,1,0,0,0,1,0
RING1B_HNRNPL,0.104330851,1443,1,1,0,0,1,1,0
RING1B_HNRNPC,0.077362447,1070,1,1,0,0,0,0,0
RING1B_CIZ1,0.101294194,1401,1,1,0,0,0,0,0
RING1B_PABPN1,0.288482395,3990,0,0,1,1,0,1,0
NXF1_HNRNPK,0.066661847,922,1,1,5.10E-15,1.13E-14,0,0,0
NXF1_MATRIN3,0.039838045,551,1,1,0,0,0,0,0
NXF1_SPEN,0.166582315,2304,1,1,0,0,1,0,0
NXF1_HNRNPM,0.095510086,1321,1,1,0,0,0,0,0
NXF1_PTBP1,0.100932687,1396,1,1,0,0,0,0,0
NXF1_XRN2,0.217410166,3007,8.47E-05,0.000215361,0.999922137,1,0,0,0
NXF1_TIA1,0.190007953,2628,0.999991259,1,9.63E-06,1.81E-05,0,0,0
NXF1_SFPQ,0.201865375,2792,0.781213126,1,0.225124192,0.395092957,0,0,0
NXF1_RBM15A,0.386667631,5348,0,0,1,1,1,1,1
NXF1_SAFB,0.1443858,1997,1,1,0,0,1,1,1
NXF1_YTHDC1,0.367435471,5082,0,0,1,1,1,1,1
NXF1_SRSF1,0.52194346,7219,0,0,1,1,1,1,1
NXF1_NUDT21,0.346974188,4799,4.11E-15,1.64E-14,1,1,1,1,1
NXF1_KHDRBS1,0.091316608,1263,1,1,0,0,0,1,0
NXF1_HNRNPU,0.043453113,601,1,1,0,0,0,0,0
NXF1_HNRNPL,0.051478563,712,1,1,0,0,0,0,0
NXF1_HNRNPC,0.046489769,643,1,1,0,0,1,0,0
NXF1_CIZ1,0.086761622,1200,1,1,0,0,0,0,0
